Transaction_Amount,Transaction_Hour,Location_Change,Device_Mismatch,Transaction_Velocity,Account_Age_Days,AvgTransaction_Last30Days,Amount_To_Average_Ratio,User_Income_Estimate,Device_OS,Customer_Marital_Status,RESULT
33447,14,0,0,1,834,76063,0.44,436534.0,1,3,0
14227,15,0,0,0,726,14215,1.0,295911.0,2,3,0
90624,10,0,0,0,1234,42302,2.14,176223.0,3,2,0
80671,16,0,1,2,2558,77635,1.04,291687.0,1,3,0
119001,8,0,0,4,1816,66860,1.78,245855.0,3,0,0
42488,19,0,1,0,1930,79152,0.54,224159.0,3,3,0
435718,1,1,1,8,17,75111,5.8,311407.0,0,2,1
136492,0,0,1,10,44,64749,2.11,321635.0,2,3,1
53600,17,0,0,2,528,82261,0.65,389750.0,0,2,0
36609,4,0,0,3,2490,55640,0.66,165155.0,3,3,0
131060,15,0,0,1,1866,51205,2.56,374424.0,3,3,0
37352,12,0,0,2,2406,31719,1.18,410720.0,0,0,0
48950,0,0,1,4,2961,66444,0.74,214196.0,0,1,0
14154,11,0,0,0,791,54214,0.26,238955.0,0,3,0
185017,12,0,0,0,1170,64199,2.88,369183.0,2,0,0
389376,3,1,1,9,88,26497,14.69,276440.5,3,3,1
89183,13,0,0,0,1826,6883,12.96,328795.0,1,3,0
3312,13,0,0,0,1171,25469,0.13,230607.0,2,3,0
429682,3,1,1,9,30,42235,10.17,134895.0,1,2,1
188422,21,1,0,2,2277,46026,4.09,227142.0,0,3,0
180523,17,0,1,5,2764,14893,12.12,206226.0,3,1,0
90354,5,0,0,2,499,97992,0.92,73631.0,3,0,0
6307,16,0,0,3,929,74820,0.08,111716.0,1,3,0
80432,2,0,1,9,22,87641,0.92,75790.0,3,2,1
162516,11,0,0,3,2271,42924,3.79,97196.0,2,0,0
145982,19,0,0,5,716,7456,19.58,459806.0,0,0,0
340036,4,1,1,9,58,13151,25.85,338659.0,1,3,1
192059,0,1,0,9,78,43741,4.39,377265.0,3,3,1
254890,3,0,0,5,58,57418,4.44,136549.0,0,0,1
167085,15,1,1,1,2520,23808,7.02,498852.0,1,2,0
130973,7,0,0,4,2828,20345,6.44,181469.0,0,1,0
64665,0,1,1,5,87,23328,2.77,222469.0,2,3,1
219231,2,0,1,10,33,24048,9.12,362361.0,0,3,1
177827,20,0,1,3,1124,76831,2.31,484364.0,3,0,0
7603,3,0,1,4,2476,5046,1.51,276440.5,0,3,0
168147,14,0,1,2,2974,85823,1.96,482725.0,1,3,0
412665,1,0,1,5,63,65528,6.3,467572.0,1,0,1
109385,15,0,0,2,1850,46684,2.34,166032.0,2,0,0
162061,9,1,0,5,1833,54128,2.99,134679.0,2,1,0
115958,4,0,0,2,846,13627,8.51,239889.0,2,3,0
160620,6,0,0,5,2016,13209,12.16,103482.0,0,1,0
350341,4,1,0,7,13,23079,15.18,457194.0,3,0,1
182310,1,0,1,5,2358,15248,11.96,359132.0,0,3,0
139169,2,1,1,6,9,39173,3.55,61179.0,0,3,1
414023,0,0,1,5,70,6755,61.28,178500.0,2,1,1
167730,0,0,0,5,480,12688,13.22,285876.0,3,1,0
171056,15,0,0,1,816,53443,3.2,223033.0,2,3,0
188073,2,0,0,1,2244,52178,3.6,276440.5,1,2,0
452550,0,1,0,11,15,82275,5.5,185141.0,0,3,1
128667,17,0,1,5,435,42710,3.01,434236.0,2,3,0
116264,19,1,0,0,140,49659,2.34,276440.5,0,2,0
65573,2,1,0,9,71,87164,0.75,234869.0,1,0,1
13515,7,0,0,3,1909,87331,0.15,476797.0,1,3,0
209989,2,1,1,9,18,5203,40.35,242830.0,3,2,1
81754,4,1,1,3,2791,49857,1.64,191483.0,1,0,0
8325,6,0,0,4,2665,48327,0.17,190324.0,3,0,0
35814,8,0,1,1,691,16191,2.21,276440.5,1,2,0
457881,1,1,1,7,48,7967,57.46,87018.0,3,2,1
184258,10,0,0,1,1926,72104,2.56,158818.0,1,2,0
146396,0,0,0,10,84,78471,1.87,342173.0,2,1,1
338729,2,1,1,8,88,34059,9.95,206520.0,3,3,1
151280,21,0,1,5,896,11485,13.17,277112.0,1,3,0
432238,0,1,1,8,28,43635,9.91,469135.0,1,3,1
154472,18,1,0,0,1234,19053,8.11,310706.0,1,3,0
173389,2,0,0,3,1317,21335,8.13,108724.0,2,1,0
2675,5,0,0,0,1423,96796,0.03,421604.0,2,2,0
131499,3,1,0,9,11,40927,3.21,276440.5,2,1,1
137546,4,0,0,1,2076,14550,9.45,365206.0,2,3,0
35894,14,0,0,3,1486,97284,0.37,61366.0,0,3,0
121025,23,0,0,5,1965,97061,1.25,282756.0,3,0,0
172943,14,0,0,2,1736,66303,2.61,325520.0,2,2,0
196701,23,1,0,4,673,6067,32.42,128937.0,3,3,0
153556,0,0,1,5,36,10196,15.06,240672.0,1,0,1
268124,0,0,0,5,34,75795,3.54,271458.0,3,0,1
44901,9,0,0,3,1436,19553,2.3,289438.0,2,3,0
365309,3,1,1,5,40,70669,5.17,187679.0,1,1,1
77139,2,0,0,3,1850,23570,3.27,217010.0,2,3,0
147216,3,0,1,10,48,88084,1.67,95820.0,2,3,1
98735,16,0,0,4,1522,56606,1.74,142334.0,0,2,0
75512,12,0,0,5,474,72145,1.05,276440.5,1,3,0
159438,21,1,0,2,2442,63612,2.51,349849.0,0,2,0
329759,4,0,1,7,85,53703,6.14,158447.0,2,2,1
190697,17,0,1,4,2076,43593,4.37,346127.0,3,3,0
112694,16,0,0,5,1921,28442,3.96,323387.0,1,1,0
632,4,0,0,3,1810,90922,0.01,486436.0,0,1,0
79864,22,0,0,1,2417,54514,1.46,237388.0,2,1,0
76001,17,0,0,0,1796,98577,0.77,276440.5,1,0,0
144946,15,0,0,1,2370,55141,2.63,276440.5,2,3,0
135600,0,1,1,11,59,64951,2.09,461723.0,0,3,1
193258,3,0,0,2,1295,34655,5.58,377590.0,0,0,0
44139,14,0,1,3,2191,73752,0.6,202931.0,1,0,0
77258,21,1,0,1,2297,34581,2.23,480609.0,3,3,0
405877,4,0,0,10,67,71750,5.66,270598.0,2,2,1
70010,2,1,0,9,29,30078,2.33,276440.5,3,2,1
17770,9,1,1,5,1499,77592,0.23,372411.0,2,1,0
87373,22,0,0,0,1442,10243,8.53,226405.0,2,2,0
59984,2,1,0,3,1145,6254,9.59,54286.0,2,3,0
70043,16,1,0,2,1813,96084,0.73,276440.5,1,0,0
193088,0,1,1,7,22,35239,5.48,276440.5,0,3,1
96501,20,1,0,5,1150,43551,2.22,276440.5,3,3,0
111161,21,0,0,1,660,86736,1.28,238564.0,0,2,0
143341,9,0,0,5,1843,53359,2.69,367263.0,3,2,0
119191,3,1,1,5,83,17304,6.89,154816.0,3,3,1
31903,11,0,0,2,650,64924,0.49,178391.0,2,3,0
152750,10,0,0,3,2310,77882,1.96,418486.0,3,2,0
155696,16,0,0,3,872,60958,2.55,444394.0,0,1,0
249014,2,1,1,9,85,80676,3.09,235085.0,0,3,1
85566,18,0,0,4,2449,60103,1.42,267214.0,0,3,0
144236,0,1,0,0,1250,15714,9.18,276440.5,0,2,0
107191,8,0,0,4,2727,46078,2.33,86264.0,1,2,0
166056,3,0,0,2,1545,84567,1.96,400609.0,2,1,0
115144,18,1,0,5,457,18417,6.25,102328.0,3,0,0
138345,4,0,0,1,2153,38668,3.58,263184.0,0,2,0
3270,9,0,0,2,1032,38025,0.09,100373.0,2,3,0
14888,10,0,0,2,2813,36254,0.41,108266.0,0,0,0
118347,13,1,0,0,279,46164,2.56,257815.0,2,3,0
471931,3,1,1,9,42,92318,5.11,362008.0,0,3,1
168746,13,0,1,5,1645,17818,9.47,311644.0,0,0,0
86880,2,0,1,6,53,91861,0.95,237553.0,2,3,1
197949,7,0,0,2,2681,75482,2.62,355271.0,3,1,0
155074,21,0,1,0,960,53544,2.9,459856.0,2,3,0
33395,6,0,0,3,645,28251,1.18,336382.0,2,3,0
60544,11,0,0,1,373,16305,3.71,81722.0,1,3,0
78184,5,0,1,5,318,69963,1.12,339765.0,2,1,0
161573,12,1,0,3,1010,44070,3.67,89150.0,0,2,0
61762,20,1,0,1,2789,6017,10.26,201957.0,3,3,0
151351,4,1,1,7,60,67306,2.25,276440.5,3,3,1
25269,14,0,0,3,2121,54704,0.46,432375.0,2,3,0
457050,1,0,1,6,26,27068,16.88,140236.0,1,0,1
139938,23,0,0,3,195,47930,2.92,182732.0,1,0,0
27651,5,0,0,2,811,90496,0.31,80702.0,1,1,0
124688,15,0,0,5,1542,66804,1.87,142340.0,3,3,0
13521,11,0,0,3,2399,56902,0.24,327883.0,1,3,0
73512,3,1,0,3,2579,68012,1.08,359830.0,2,1,0
187129,12,0,0,1,697,42386,4.41,391769.0,3,0,0
194224,16,1,0,4,2142,15223,12.76,335087.0,0,1,0
87551,19,0,0,4,1338,38973,2.25,256120.0,0,1,0
168227,18,0,0,3,2364,41133,4.09,276440.5,3,3,0
437419,4,1,0,9,77,32618,13.41,340060.0,0,1,1
258289,2,0,1,7,45,14345,18.0,436002.0,2,1,1
173448,0,0,1,10,27,48813,3.55,184802.0,1,3,1
61684,2,0,0,5,40,8726,7.07,307512.0,0,0,1
181965,19,0,0,2,271,64560,2.82,276440.5,0,1,0
5067,3,0,0,2,2456,88578,0.06,77560.0,0,3,0
134568,3,0,1,9,51,28033,4.8,191376.0,0,1,1
127941,7,0,0,2,2659,5783,22.12,92666.0,0,2,0
148370,11,0,0,3,1788,79170,1.87,285784.0,3,2,0
12635,9,0,0,4,1512,44404,0.28,314733.0,0,3,0
10195,7,0,1,3,2311,5645,1.81,276440.5,2,0,0
41483,8,0,1,0,1710,65269,0.64,92231.0,0,2,0
357365,3,0,1,9,11,12387,28.85,207247.0,1,1,1
31295,2,0,0,5,1755,8801,3.56,301393.0,1,2,0
138985,11,0,0,3,1298,54454,2.55,194877.0,2,3,0
353859,3,0,1,6,62,79625,4.44,276062.0,1,3,1
22974,23,1,0,2,2509,48869,0.47,59646.0,2,2,0
60171,18,0,0,3,1098,92535,0.65,125048.0,0,1,0
160912,5,1,1,4,581,63376,2.54,56037.0,2,3,0
181879,12,0,0,3,1203,56697,3.21,276440.5,2,0,0
66737,2,0,1,11,37,38667,1.73,142214.0,1,2,1
25599,18,0,0,4,805,43098,0.59,208945.0,1,2,0
204630,3,0,1,8,61,98258,2.08,294849.0,3,2,1
135322,9,0,0,3,868,42697,3.17,111196.0,2,2,0
163100,0,0,1,11,61,62529,2.61,444710.0,2,1,1
461579,4,0,1,5,42,5284,87.34,491299.0,3,1,1
218923,2,1,1,5,53,44347,4.94,198261.0,0,3,1
139167,20,0,0,3,2628,85366,1.63,281372.0,2,3,0
54825,2,0,1,11,55,22905,2.39,276440.5,1,0,1
134270,4,1,0,1,2912,36604,3.67,164751.0,1,3,0
69957,11,0,0,4,2079,51676,1.35,283033.0,0,1,0
362058,0,1,1,7,18,12241,29.58,264068.0,2,2,1
193211,1,0,0,1,2177,87833,2.2,165864.0,2,2,0
253304,3,0,1,7,53,88442,2.86,417925.0,3,0,1
134374,18,0,0,1,1233,16964,7.92,353149.0,0,3,0
4906,17,0,0,0,1681,63327,0.08,495965.0,2,1,0
59594,17,0,0,0,990,15370,3.88,356696.0,2,2,0
101575,17,0,0,0,222,81695,1.24,477710.0,1,3,0
54722,11,0,0,1,1023,71586,0.76,276440.5,0,1,0
163749,14,1,1,3,2872,5792,28.27,61367.0,3,0,0
39231,11,1,1,4,1461,69379,0.57,185210.0,0,3,0
116337,8,0,0,1,1166,70064,1.66,276440.5,1,3,0
15705,20,0,0,4,2083,26433,0.59,276440.5,0,0,0
92560,20,0,0,5,2690,56305,1.64,195979.0,0,3,0
54557,18,0,0,5,2458,5459,9.99,176908.0,2,2,0
123170,13,1,0,5,1635,69784,1.76,449600.0,3,3,0
79259,3,0,0,0,2787,31950,2.48,304816.0,0,3,0
437600,3,0,1,11,78,20362,21.49,424379.0,1,2,1
352130,1,1,1,5,26,64126,5.49,301979.0,3,3,1
86418,19,0,0,1,541,65302,1.32,125506.0,1,2,0
170850,13,0,0,5,141,11058,15.45,381195.0,1,2,0
308514,2,1,1,6,19,87475,3.53,196336.0,3,3,1
27115,5,0,0,2,1791,64430,0.42,151016.0,0,3,0
56115,7,0,0,0,2337,20797,2.7,366001.0,0,1,0
108123,19,1,0,1,195,99906,1.08,276440.5,0,3,0
331620,3,0,1,8,71,46706,7.1,416519.0,3,0,1
65532,0,1,0,4,1401,77769,0.84,182963.0,0,3,0
190092,10,0,0,4,2639,33436,5.69,276440.5,3,0,0
375852,2,1,1,5,11,77726,4.84,428272.0,0,3,1
269087,3,0,1,11,70,35377,7.61,174026.0,3,1,1
45456,1,0,0,5,281,94463,0.48,276440.5,0,3,0
19991,14,1,1,0,1766,29288,0.68,276440.5,2,2,0
139947,4,1,1,5,37,82162,1.7,239857.0,1,1,1
182569,13,0,1,1,1681,65159,2.8,194594.0,1,3,0
131156,8,1,1,5,1011,92778,1.41,374051.0,1,3,0
16651,14,0,1,3,1631,73034,0.23,163417.0,3,2,0
206555,0,1,1,5,10,28179,7.33,97954.0,3,3,1
22511,7,1,0,1,477,36104,0.62,276440.5,1,2,0
94420,1,0,1,10,41,10289,9.18,377324.0,3,2,1
288016,1,0,1,5,36,27378,10.52,276440.5,1,1,1
181998,17,0,0,1,2809,35897,5.07,221674.0,2,0,0
86038,2,1,1,2,2218,98550,0.87,153482.0,0,0,0
169698,0,0,0,1,2592,59146,2.87,327382.0,0,3,0
60924,7,0,0,4,1793,40697,1.5,424333.0,1,0,0
133102,9,0,0,5,1223,98232,1.35,457282.0,1,0,0
333720,3,1,1,7,75,56750,5.88,173505.0,1,2,1
12522,22,0,0,4,483,97968,0.13,126647.0,2,2,0
491554,2,1,0,5,66,65850,7.46,333197.0,3,0,1
116881,7,0,0,5,2883,73622,1.59,276440.5,0,1,0
53463,2,0,0,4,2441,47542,1.12,287239.0,1,3,0
69212,16,0,0,5,1620,47347,1.46,311882.0,1,3,0
101601,19,0,0,5,667,25303,4.02,384997.0,1,2,0
3764,11,0,1,1,325,38405,0.1,495373.0,2,2,0
60323,16,0,0,2,1374,55787,1.08,289291.0,3,1,0
76674,16,0,0,3,2442,8941,8.57,386067.0,0,1,0
74560,19,0,1,2,1539,88172,0.85,419163.0,1,3,0
43724,14,1,0,3,175,31811,1.37,404608.0,1,3,0
7409,5,1,0,1,2646,75602,0.1,276440.5,0,3,0
114700,0,0,1,2,1694,64588,1.78,431431.0,3,2,0
413791,1,1,1,6,4,21734,19.04,258670.0,1,3,1
123607,15,0,1,5,1911,17464,7.08,421230.0,2,1,0
27632,17,1,0,5,2628,30592,0.9,427275.0,0,1,0
45258,11,1,0,5,2571,90230,0.5,276440.5,1,2,0
83241,8,1,0,2,2132,10691,7.79,183025.0,2,3,0
70999,2,0,0,1,345,39699,1.79,165799.0,1,0,0
99676,18,0,0,0,1402,58609,1.7,383240.0,1,3,0
62858,9,1,1,2,1237,33629,1.87,276440.5,2,2,0
194014,21,0,1,5,316,85420,2.27,380556.0,1,2,0
51678,20,0,0,2,2716,37225,1.39,481653.0,3,3,0
71435,5,1,0,5,1414,51972,1.37,209219.0,3,1,0
19795,17,0,0,0,2208,31414,0.63,481964.0,1,3,0
373301,4,1,0,7,54,31451,11.87,353053.0,3,1,1
48591,5,0,0,5,1987,37291,1.3,202889.0,1,2,0
77468,7,1,0,0,2649,19744,3.92,474371.0,1,2,0
21521,4,0,0,2,1576,69591,0.31,184141.0,1,3,0
6986,7,1,0,4,1532,61254,0.11,276440.5,0,3,0
135748,6,1,0,5,880,52595,2.58,353328.0,2,2,0
183758,2,0,1,4,2460,90099,2.04,124539.0,2,3,0
27568,20,0,0,2,2822,26407,1.04,410694.0,0,3,0
88157,18,1,0,0,2854,12728,6.93,250846.0,1,2,0
64094,0,0,1,5,2825,93003,0.69,401416.0,1,0,0
134630,17,0,0,5,2772,24359,5.53,276440.5,0,2,0
13414,16,1,0,4,2384,7384,1.82,487528.0,1,0,0
107794,3,1,0,0,2181,79031,1.36,59885.0,2,2,0
150272,10,0,0,2,1011,77650,1.94,337140.0,1,2,0
142290,1,0,1,8,84,91949,1.55,176379.0,3,3,1
152695,7,0,0,1,441,58884,2.59,299668.0,1,3,0
5791,9,0,0,2,1022,62147,0.09,276440.5,1,3,0
53152,9,0,0,3,2045,56175,0.95,68980.0,1,1,0
467440,1,0,1,6,22,88176,5.3,100809.0,1,2,1
124532,21,0,1,4,790,20089,6.2,439694.0,1,1,0
57304,16,1,0,4,312,8830,6.49,276440.5,2,3,0
68994,16,1,0,2,1461,12053,5.72,186742.0,1,3,0
109494,22,0,0,5,2654,70075,1.56,235493.0,2,1,0
191680,11,0,0,4,754,57606,3.33,322020.0,3,3,0
189647,8,0,0,2,2864,83519,2.27,276440.5,2,1,0
439683,0,1,1,9,9,71243,6.17,468264.0,0,1,1
33315,17,0,0,5,657,55018,0.61,192524.0,2,3,0
29135,11,1,1,1,797,27953,1.04,477034.0,3,1,0
467918,2,0,1,9,71,99805,4.69,481843.0,2,2,1
177013,23,0,0,1,1907,9453,18.72,276440.5,1,3,0
57760,5,0,1,1,274,75514,0.76,170825.0,1,0,0
127505,12,0,0,5,1241,58333,2.19,329866.0,0,2,0
113261,18,0,0,3,2250,39497,2.87,387289.0,1,0,0
176546,18,0,1,2,1100,21268,8.3,276440.5,2,3,0
293180,4,0,1,7,73,6585,44.52,364676.0,2,1,1
142113,19,0,0,1,2488,54104,2.63,62199.0,1,2,0
144348,7,0,0,5,169,91760,1.57,208393.0,0,0,0
61532,20,0,0,5,361,41062,1.5,260409.0,0,3,0
80398,3,0,1,9,77,73464,1.09,143715.0,0,3,1
465350,0,0,0,11,37,33700,13.81,276440.5,1,3,1
157554,4,1,1,7,68,54282,2.9,287420.0,2,1,1
172642,11,0,1,2,964,57940,2.98,311803.0,1,0,0
50969,22,0,0,2,137,99426,0.51,115133.0,1,0,0
21745,2,1,0,2,657,51178,0.42,252772.0,2,0,0
8287,20,0,0,5,306,5334,1.55,173438.0,2,0,0
77139,9,0,0,4,1768,74433,1.04,369254.0,2,2,0
57753,8,0,0,2,602,96095,0.6,423322.0,3,2,0
38865,17,0,0,3,349,24992,1.56,167959.0,3,3,0
183234,10,0,0,3,2492,73052,2.51,72622.0,0,3,0
115278,11,0,0,5,112,55873,2.06,375942.0,3,3,0
190356,12,0,0,2,278,53975,3.53,378139.0,2,3,0
68272,4,0,0,0,2524,98103,0.7,350809.0,1,1,0
163997,2,0,1,0,1802,88295,1.86,400748.0,2,1,0
135241,14,0,0,2,1149,13948,9.7,364791.0,3,0,0
400558,3,0,1,10,30,24098,16.62,450624.0,3,2,1
69569,12,0,0,3,1459,85212,0.82,276440.5,3,2,0
6505,14,0,0,5,1612,22804,0.29,138613.0,0,1,0
193508,12,0,1,1,2779,13884,13.94,249646.0,1,1,0
110313,1,0,0,7,26,25957,4.25,276440.5,1,1,1
68616,16,1,0,1,638,16277,4.22,286999.0,2,0,0
99024,11,0,0,3,425,46184,2.14,335542.0,0,2,0
80406,5,0,0,5,1052,12111,6.64,464189.0,3,3,0
100690,22,0,1,0,835,60326,1.67,443018.0,1,3,0
90437,5,0,0,1,1904,76020,1.19,489381.0,3,1,0
197684,21,0,0,4,868,82558,2.39,247592.0,3,1,0
75044,3,0,1,9,50,37857,1.98,88503.0,0,1,1
196789,16,0,0,2,2481,55370,3.55,109289.0,2,1,0
268147,4,0,1,5,46,95336,2.81,57553.0,2,2,1
164403,19,0,0,3,2457,5092,32.28,257542.0,1,3,0
30495,21,1,0,2,2571,67565,0.45,300696.0,2,3,0
166089,4,1,1,6,2,55684,2.98,498903.0,1,1,1
76205,22,1,0,4,1210,15030,5.07,257360.0,1,3,0
138623,10,0,0,1,688,84903,1.63,199500.0,2,3,0
148214,3,0,0,0,477,71333,2.08,355607.0,0,0,0
71749,15,0,0,3,2361,74848,0.96,146411.0,1,2,0
55831,8,0,0,4,462,20427,2.73,203241.0,1,3,0
100251,2,0,1,2,1629,79501,1.26,148632.0,2,3,0
9485,1,1,0,2,1227,59309,0.16,152776.0,0,0,0
57218,10,0,0,4,2953,80691,0.71,469957.0,2,2,0
88984,18,0,0,4,2836,42236,2.11,248954.0,1,1,0
145556,18,0,0,0,1663,77838,1.87,465092.0,2,2,0
115648,6,0,0,1,1487,22171,5.22,353370.0,1,1,0
29827,4,1,0,3,510,68624,0.43,407794.0,3,3,0
146102,9,0,0,3,2743,98173,1.49,276440.5,3,2,0
58064,8,0,0,0,1318,50024,1.16,289552.0,1,3,0
295735,4,1,1,11,54,83580,3.54,305170.0,0,3,1
162881,15,0,0,2,1434,50503,3.23,158312.0,0,0,0
116965,11,0,0,5,1719,91679,1.28,104012.0,3,3,0
134710,15,0,0,5,691,5837,23.07,144010.0,3,1,0
128477,11,0,0,2,2403,94608,1.36,153510.0,0,3,0
199761,19,0,0,2,1185,54525,3.66,415123.0,1,1,0
128340,2,1,0,7,6,7884,16.28,421257.0,3,0,1
21022,23,0,0,4,580,51905,0.41,210492.0,2,0,0
216885,4,1,1,10,23,50486,4.3,171282.0,0,1,1
360027,2,1,1,5,64,73734,4.88,276440.5,1,2,1
175560,1,0,0,11,53,68228,2.57,495272.0,1,0,1
320649,2,0,0,11,76,29744,10.78,456676.0,3,0,1
53773,23,0,0,1,1819,49515,1.09,276440.5,1,3,0
35436,4,0,1,4,724,64773,0.55,174887.0,1,1,0
74932,16,0,0,2,2117,57984,1.29,461608.0,0,2,0
97996,17,1,0,2,925,72454,1.35,388406.0,0,0,0
145854,15,0,0,0,1505,11374,12.82,76974.0,0,3,0
32414,3,1,0,0,1119,23760,1.36,266233.0,1,3,0
92603,14,1,0,2,826,19057,4.86,341258.0,2,3,0
187787,18,1,0,3,457,74543,2.52,185747.0,3,0,0
145630,9,1,1,2,1048,33695,4.32,408114.0,0,3,0
182799,9,0,0,0,2112,7078,25.82,408030.0,1,2,0
155350,5,1,1,4,1894,51845,3.0,276440.5,3,2,0
399174,2,1,1,5,28,72517,5.5,304613.0,2,1,1
118658,17,0,0,3,905,16697,7.11,196494.0,0,1,0
38880,5,0,1,5,2402,21390,1.82,215276.0,1,3,0
167590,19,0,0,5,837,82969,2.02,434569.0,2,1,0
143131,16,0,0,1,541,7153,20.01,144447.0,0,1,0
139591,1,1,0,4,1942,53474,2.61,60623.0,1,3,0
86004,1,0,1,0,2232,36739,2.34,496668.0,3,1,0
138549,9,0,0,2,503,61993,2.23,359456.0,1,3,0
111113,4,0,0,2,2809,16858,6.59,93324.0,3,3,0
181516,7,0,0,1,850,83593,2.17,444576.0,1,0,0
2548,12,0,0,5,2987,24699,0.1,105885.0,0,3,0
173154,13,0,0,5,2790,28931,5.98,276440.5,2,2,0
25154,4,0,0,5,2470,79842,0.32,285361.0,2,0,0
65824,16,0,0,3,2501,17152,3.84,459017.0,0,2,0
368462,1,1,0,6,87,96017,3.84,403906.0,1,3,1
198225,21,0,0,5,771,81968,2.42,457487.0,0,3,0
127786,17,0,0,1,2075,25011,5.11,244035.0,2,3,0
49400,3,0,0,3,2990,89103,0.55,326345.0,0,0,0
60519,4,0,0,4,1942,54031,1.12,324773.0,3,0,0
189303,3,0,0,2,302,9655,19.6,386429.0,1,3,0
142369,15,1,1,2,2668,26432,5.39,491106.0,1,3,0
224683,4,1,0,6,88,72804,3.09,295382.0,3,3,1
50591,22,1,0,3,2524,11028,4.59,161930.0,1,2,0
111129,20,0,0,5,2394,48441,2.29,70688.0,1,3,0
177852,8,1,0,3,2858,81620,2.18,434796.0,2,2,0
124618,17,0,1,1,1143,70658,1.76,100108.0,2,3,0
153052,3,1,1,4,991,97198,1.57,373480.0,2,1,0
29597,5,0,0,4,961,89744,0.33,293968.0,0,2,0
138015,2,1,1,11,43,50542,2.73,446423.0,2,2,1
28734,8,1,1,2,296,86504,0.33,241703.0,0,3,0
75753,10,1,0,2,331,10136,7.47,182784.0,1,0,0
303186,2,1,0,6,72,90031,3.37,71625.0,3,3,1
145333,22,0,0,3,2059,53250,2.73,396448.0,0,0,0
348591,0,1,1,11,3,22757,15.32,157136.0,1,3,1
143526,1,0,1,4,1786,37719,3.81,451853.0,2,1,0
324277,2,1,1,10,85,6401,50.65,191076.0,1,3,1
166873,8,0,0,2,917,72720,2.29,322498.0,1,0,0
280651,4,1,1,7,48,38787,7.24,403551.0,2,3,1
73982,1,0,1,11,7,17061,4.34,121241.0,1,3,1
50796,14,0,0,0,2024,73020,0.7,499364.0,3,3,0
444961,4,1,1,10,23,64991,6.85,443004.0,3,3,1
153584,9,0,0,2,207,91030,1.69,276440.5,1,0,0
133613,14,0,0,5,1704,33028,4.05,466656.0,1,2,0
33387,21,0,1,1,2942,6613,5.05,276440.5,0,2,0
73659,21,0,1,5,1061,58954,1.25,459512.0,3,1,0
26785,22,0,1,3,755,5455,4.91,123179.0,1,3,0
127685,12,1,1,3,1689,48314,2.64,229275.0,0,2,0
559,1,0,0,0,1884,15721,0.04,240358.0,2,3,0
317830,3,1,0,10,89,44348,7.17,325677.0,3,3,1
202988,1,0,1,10,28,68712,2.95,448653.0,1,3,1
90583,18,1,0,1,1959,99825,0.91,449131.0,2,2,0
29195,6,1,0,0,92,96119,0.3,157777.0,1,2,0
37626,15,1,0,0,295,20185,1.86,155589.0,3,1,0
42488,14,0,1,3,2684,71923,0.59,182055.0,1,1,0
127810,10,0,0,0,2847,71311,1.79,307870.0,1,3,0
87401,19,0,0,3,772,72537,1.2,276440.5,2,0,0
146328,11,0,0,5,182,18886,7.75,398425.0,1,3,0
416797,4,1,0,7,52,87293,4.77,186977.0,0,2,1
119315,22,0,0,4,2870,77433,1.54,276440.5,1,0,0
133136,14,0,1,2,2277,59294,2.25,276440.5,2,2,0
36402,19,0,0,2,2101,8678,4.19,290116.0,2,0,0
93555,6,0,0,3,322,42423,2.21,276440.5,1,0,0
122808,2,0,0,2,170,7661,16.03,185870.0,1,2,0
197648,1,0,0,0,2333,98154,2.01,276440.5,2,0,0
183717,11,0,0,2,1734,62822,2.92,413113.0,1,0,0
137590,6,0,0,5,2738,98099,1.4,425775.0,0,1,0
265570,2,1,0,9,75,86477,3.07,309666.0,1,1,1
144564,4,1,1,7,17,39293,3.68,276440.5,1,0,1
105954,16,0,0,1,601,28018,3.78,175200.0,1,3,0
63576,20,0,0,5,1255,74804,0.85,383664.0,1,3,0
21426,22,0,1,1,2460,65952,0.32,276440.5,2,3,0
117680,21,0,0,1,2642,82863,1.42,409932.0,1,0,0
101114,21,0,0,1,912,57749,1.75,337180.0,0,3,0
104041,12,0,0,5,1241,58621,1.77,464599.0,1,3,0
196107,21,0,0,2,920,47521,4.13,376921.0,2,2,0
143709,20,1,0,1,248,66071,2.18,311447.0,1,1,0
140070,14,0,0,0,435,8911,15.72,230177.0,1,0,0
123876,2,0,1,9,32,11440,10.83,278545.0,1,2,1
458967,2,1,1,6,38,60014,7.65,88402.0,2,1,1
126179,5,0,0,0,2257,86335,1.46,172626.0,3,0,0
131051,5,0,0,5,120,89944,1.46,174052.0,1,0,0
194656,0,1,0,6,37,23839,8.17,276440.5,3,3,1
38193,20,0,0,4,2792,44025,0.87,178237.0,1,3,0
446381,3,0,1,11,15,50017,8.92,110555.0,1,3,1
163781,5,0,0,5,2993,61741,2.65,65515.0,3,3,0
479390,2,1,1,5,10,94227,5.09,369428.0,0,0,1
82554,11,0,0,0,1862,54316,1.52,423060.0,0,3,0
229859,1,1,1,9,74,92218,2.49,405407.0,1,1,1
305329,3,0,0,7,19,12199,25.03,276440.5,3,1,1
136052,3,0,0,4,1636,22173,6.14,84262.0,0,3,0
183475,11,0,0,2,1969,67301,2.73,429201.0,1,1,0
114314,0,0,0,8,58,29279,3.9,323981.0,2,2,1
24709,14,0,0,5,1050,70165,0.35,373688.0,0,1,0
